
Getting data from wss://ptmessaging-eu1bc.prd.jifeline.cloud/ptmessaging/ece56a89-9ff8-43e2-99fe-0d8b75096e72?bufferSize=1000&amp;useArrayFormat=true
13:58:35.278 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1421] data[22DD0A]
13:58:35.385 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62DD0A0B]
13:58:35.415 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1421] data[22DD0A]
13:58:35.515 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62DD0A0B]
13:58:35.545 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1421] data[22DD0A]
13:58:35.645 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62DD0A0B]
13:58:35.668 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1FFF] data[3E80]
13:58:35.675 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1421] data[22DD0A]
13:58:35.793 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62DD0A0B]
13:58:35.813 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1421] data[22DD0A]
13:58:35.955 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62DD0A0B]
13:58:35.972 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1421] data[22DD0A]
13:58:36.075 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62DD0A0B]
13:58:36.104 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1421] data[22DD0A]
13:58:36.255 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62DD0A0B]
13:58:36.261 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1A01] data[22DD0A]
13:58:36.271 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1421] data[22DD0A]
13:58:36.385 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1A01] target[0E80] data[62DD0A0B]
13:58:36.393 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62DD0A0B]
13:58:36.459 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1A01] data[22DD02]
13:58:36.462 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1421] data[22DD0A]
13:58:36.541 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1A01] target[0E80] data[62DD0238]
13:58:36.591 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1A01] data[224028]
13:58:36.592 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1421] target[0E80] data[62DD0A0B]
