
Getting data from wss://ptmessaging-eu1bc.prd.jifeline.cloud/ptmessaging/b71d5fb8-840d-4641-ba7f-c2d5574cdec4?bufferSize=1000&amp;useArrayFormat=true
16:22:52.635 | [Server]-&gt;[Tracer] METADATA =&gt; key[connectors:1717cd5c-1a1f-37b6-8734-4569ce852d07:rtt] value[10]
16:22:53.368 | [Server]-&gt;[Tracer] METADATA =&gt; key[vehicle:info:plus15] value[off]
16:22:53.369 | [Server]-&gt;[Tracer] METADATA =&gt; key[vehicle:info:voltage] value[11.4]
16:22:53.473 | [Server]-&gt;[Tracer] METADATA =&gt; key[ticket:products] value[[{"id":52261,"name":"Front Camera Basic Settings"}]]
16:22:53.543 | [Server]-&gt;[Tracer] METADATA =&gt; key[vehicle:node:id] value[294521]
16:22:53.572 | [Local]-&gt;[Remote] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x03,0x64,0x03,0x03] data[0x]
16:22:53.572 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x00,0x01,0x03] data[0x]
16:22:53.649 | [Server]-&gt;[Tracer] METADATA =&gt; key[ticket:id] value[8885638]
16:22:53.796 | [Server]-&gt;[Tracer] METADATA =&gt; key[vehicle:node:path] value[TOYOTA YARIS - (_P21_, _PA1_, _PH1_) 1.5 Hybrid (MXPH11) 68KW M15A-FXE]
16:22:53.883 | [Server]-&gt;[Tracer] METADATA =&gt; key[ticket:uuid] value[edcf3dea-f191-40d7-9df8-e673334c1006]
16:22:54.029 | [Server]-&gt;[Tracer] METADATA =&gt; key[vehicle:node:path-ids] value[/152/84461/294501/294521/]
16:22:54.072 | [Server]-&gt;[Tracer] METADATA =&gt; key[ticket:autonomous] value[false]
16:22:54.220 | [Server]-&gt;[Tracer] METADATA =&gt; key[vehicle:node:tecdoc-category] value[TecdocVehicle]
16:22:54.263 | [Server]-&gt;[Tracer] METADATA =&gt; key[ticket:provider:uuid] value[740757a1-f3f7-4477-9fe4-f3025066705d]
16:22:54.512 | [Server]-&gt;[Tracer] METADATA =&gt; key[vehicle:node:tecdoc-identifier] value[141063]
16:22:54.529 | [Server]-&gt;[Tracer] METADATA =&gt; key[ticket:operator:id] value[15411]
16:22:54.573 | [Remote]-&gt;[Local] TPCONF =&gt; mod[ALL] [FRAMEWORK] cmd[0xF004] args[0x02,0x00,0x01,0x03] data[0x]
16:22:54.735 | [Server]-&gt;[Tracer] METADATA =&gt; key[ecu:channel:can:6-14-H-2:11-43:7E6-7EE:since] value[1758118974728 (2025-09-17 14:22:54.728)]
16:22:54.736 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [EOBD] cmd[0x3E7E] args[0x07E6,0x07EE,0x00,0x00] data[0x]
16:22:54.738 | [Server]-&gt;[Tracer] METADATA =&gt; key[ecu:channel:can:6-14-H-2:11-43:7E2-7EA:since] value[1758118974731 (2025-09-17 14:22:54.731)]
16:22:54.739 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [EOBD] cmd[0x3E7E] args[0x07E2,0x07EA,0x00,0x00] data[0x]
16:22:54.740 | [Server]-&gt;[Tracer] METADATA =&gt; key[ecu:channel:can:6-14-H-2:11-43:7E3-7EB:since] value[1758118974732 (2025-09-17 14:22:54.732)]
16:22:54.740 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [EOBD] cmd[0x3E7E] args[0x07E3,0x07EB,0x00,0x00] data[0x]
16:22:54.741 | [Server]-&gt;[Tracer] METADATA =&gt; key[ecu:channel:can:6-14-H-2:11-43:7E0-7E8:since] value[1758118974733 (2025-09-17 14:22:54.733)]
16:22:54.742 | [Remote]-&gt;[Local] TPCONF =&gt; mod[CAN2] [EOBD] cmd[0x3E7E] args[0x07E0,0x07E8,0x00,0x00] data[0x]
16:22:54.777 | [Server]-&gt;[Tracer] METADATA =&gt; key[vehicle:node:tecdoc-manufactured-from] value[2020-02]
16:22:54.847 | [Server]-&gt;[Tracer] METADATA =&gt; key[ticket:operator:name] value[Connor Jones]
16:22:54.895 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07EE,0x00,0x00,0x00] data[0x412080018001]
16:22:54.896 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [EOBD] cmd[0x5000] args[0x07E8,0x00,0x00,0x00] data[0x41208005B815]
