
Getting data from wss://ptmessaging-eu1bc.prd.jifeline.cloud/ptmessaging/ecf943bc-6499-40f9-9905-7e9e889a36e3?bufferSize=1000&amp;useArrayFormat=true
16:01:03.383 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x4000] args[0x0745,0x00,0x00,0x00] data[0x031902AF00000000]
16:01:03.402 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x07A2,0x00,0x00,0x00] data[0x590209]
16:01:03.442 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0765,0x00,0x00,0x00] data[0x590209]
16:01:03.466 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x4000] args[0x18DAE2F1,0x00,0x00,0x00] data[0x031902AF00000000]
16:01:03.507 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x4000] args[0x07CA,0x00,0x00,0x00] data[0x031902AF00000000]
16:01:03.522 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0772,0x00,0x00,0x00] data[0x590209]
16:01:03.562 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x4000] args[0x18DAF1E2,0x00,0x00,0x00] data[0x037F197800000000]
16:01:03.591 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x4000] args[0x07DA,0x00,0x00,0x00] data[0x037F1978FFFFFFFF]
16:01:03.633 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x07DA,0x00,0x00,0x00] data[0x59020B]
16:01:03.644 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x4000] args[0x0743,0x00,0x00,0x00] data[0x031902AF00000000]
16:01:03.732 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DAF1E2,0x00,0x00,0x00] data[0x590209]
16:01:03.763 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0763,0x00,0x00,0x00] data[0x590209E1138709]
16:01:03.793 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x4000] args[0x0743,0x00,0x00,0x00] data[0x061904E11387FF00]
16:01:03.902 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0763,0x00,0x00,0x00] data[0x5904E11387090102F0D000E698F0D101]
16:01:03.942 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x4000] args[0x0747,0x00,0x00,0x00] data[0x031902AF00000000]
16:01:03.980 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x4000] args[0x18DA15F1,0x00,0x00,0x00] data[0x0319020F00000000]
16:01:04.012 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0767,0x00,0x00,0x00] data[0x590239]
16:01:04.042 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DAF115,0x00,0x00,0x00] data[0x5902CFC2840007]
16:01:04.082 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x4000] args[0x18DA15F1,0x00,0x00,0x00] data[0x061904C284000000]
16:01:04.163 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DAF115,0x00,0x00,0x00] data[0x5904C28400070020F0D000E698F0D1001401C214028414030014040014050014065514077C140800140980140A00140B00140C00140D00140E65140F1014114F14120C1413E6141C6F141D00142100142200142363142A00142B00142C32142DA0142EA6142F00143000]
16:01:04.201 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x4000] args[0x18DADAF1,0x00,0x00,0x00] data[0x0319022B00000000]
16:01:04.259 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x4000] args[0x074D,0x00,0x00,0x00] data[0x031902AF00000000]
16:01:04.322 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x4000] args[0x18DAF1DA,0x00,0x00,0x00] data[0x037F1978AAAAAAAA]
16:01:04.415 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x4000] args[0x18DA2DF1,0x00,0x00,0x00] data[0x031902AF00000000]
16:01:04.512 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x076D,0x00,0x00,0x00] data[0x5902B9]
16:01:04.520 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x4000] args[0x18DAF12D,0x00,0x00,0x00] data[0x037F197800000000]
16:01:04.719 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0745,0x00,0x00,0x00] data[0x1001]
16:01:04.784 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0765,0x00,0x00,0x00] data[0x5001003201F4]
16:01:05.073 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DAF12D,0x00,0x00,0x00] data[0x590209]
16:01:05.583 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DAF1DA,0x00,0x00,0x00] data[0x5902FF]
16:01:06.630 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5100] args[0x07D2,0x00,0x00,0x00] data[0x023E00FFFFFFFFFF]
16:01:07.418 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0743,0x00,0x00,0x00] data[0x1003]
16:01:07.477 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0763,0x00,0x00,0x00] data[0x5003003201F4]
16:01:07.508 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0743,0x00,0x00,0x00] data[0x22F012]
16:01:07.583 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0763,0x00,0x00,0x00] data[0x62F01232343831303650413343]
16:01:07.674 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DA15F1,0x00,0x00,0x00] data[0x1003]
16:01:07.732 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DAF115,0x00,0x00,0x00] data[0x5003003201F4]
16:01:07.973 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DA15F1,0x00,0x00,0x00] data[0x22F012]
16:01:08.133 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DAF115,0x00,0x00,0x00] data[0x62F01232333730313650543441]
16:01:08.155 | [Server]-&gt;[Tracer] METADATA =&gt; key[connectors:88f650cd-8a5a-359d-8a15-4bbe4f9aa240:rtt] value[164]
16:01:08.206 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DA15F1,0x00,0x00,0x00] data[0x2210A0]
16:01:08.273 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DAF115,0x00,0x00,0x00] data[0x6210A02B03E1B40000000000000000000000000000000000000000]
16:01:08.357 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x073F,0x00,0x00,0x00] data[0x10C0]
16:01:09.155 | [Server]-&gt;[Tracer] METADATA =&gt; key[connectors:88f650cd-8a5a-359d-8a15-4bbe4f9aa240:rtt] value[110]
16:01:15.630 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5100] args[0x07D2,0x00,0x00,0x00] data[0x023E00FFFFFFFFFF]
16:01:17.156 | [Server]-&gt;[Tracer] METADATA =&gt; key[connectors:88f650cd-8a5a-359d-8a15-4bbe4f9aa240:rtt] value[59]
16:01:19.156 | [Server]-&gt;[Tracer] METADATA =&gt; key[connectors:88f650cd-8a5a-359d-8a15-4bbe4f9aa240:rtt] value[125]
16:01:20.096 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x073F,0x00,0x00,0x00] data[0x10C0]
16:01:21.156 | [Server]-&gt;[Tracer] METADATA =&gt; key[connectors:88f650cd-8a5a-359d-8a15-4bbe4f9aa240:rtt] value[73]
16:01:24.631 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5100] args[0x07D2,0x00,0x00,0x00] data[0x023E00FFFFFFFFFF]
16:01:27.157 | [Server]-&gt;[Tracer] METADATA =&gt; key[connectors:88f650cd-8a5a-359d-8a15-4bbe4f9aa240:rtt] value[140]
16:01:29.157 | [Server]-&gt;[Tracer] METADATA =&gt; key[connectors:88f650cd-8a5a-359d-8a15-4bbe4f9aa240:rtt] value[74]
16:01:31.838 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x073F,0x00,0x00,0x00] data[0x10C0]
16:01:33.630 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5100] args[0x07D2,0x00,0x00,0x00] data[0x023E00FFFFFFFFFF]
16:01:36.313 | [Server]-&gt;[Tracer] METADATA =&gt; key[connection:transceived:bytes] value[582468]
16:01:42.630 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5100] args[0x07D2,0x00,0x00,0x00] data[0x023E00FFFFFFFFFF]
16:01:43.597 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DA2DF1,0x00,0x00,0x00] data[0x1001]
16:01:43.654 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DAF12D,0x00,0x00,0x00] data[0x5001003201F4]
16:01:43.691 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DA2DF1,0x00,0x00,0x00] data[0x22F012]
16:01:43.901 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DAF12D,0x00,0x00,0x00] data[0x62F01234373835363650443541]
16:01:43.941 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DA2DF1,0x00,0x00,0x00] data[0x22F1A1]
16:01:44.012 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DAF12D,0x00,0x00,0x00] data[0x62F1A134373636303733323452]
16:01:44.064 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DA2DF1,0x00,0x00,0x00] data[0x22F1A2]
16:01:44.131 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x18DAF12D,0x00,0x00,0x00] data[0x62F1A234373835373650463743]
16:01:44.196 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0745,0x00,0x00,0x00] data[0x1003]
16:01:44.253 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0765,0x00,0x00,0x00] data[0x5003003201F4]
16:01:44.282 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0745,0x00,0x00,0x00] data[0x22F012]
16:01:44.343 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0765,0x00,0x00,0x00] data[0x62F01232383442333739383552]
16:01:44.409 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0745,0x00,0x00,0x00] data[0x1001]
16:01:44.633 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0765,0x00,0x00,0x00] data[0x5001003201F4]
16:01:44.893 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0752,0x00,0x00,0x00] data[0x1003]
16:01:44.963 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0772,0x00,0x00,0x00] data[0x5003003201F4]
16:01:44.994 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0752,0x00,0x00,0x00] data[0x22F012]
16:01:45.084 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x4000] args[0x0772,0x00,0x00,0x00] data[0x037F2278FFFFFFFF]
16:01:45.092 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [RENAULT ISOTP] cmd[0x5000] args[0x0772,0x00,0x00,0x00] data[0x62F01239383832303650453041]
