
Getting data from wss://ptmessaging-eu1bc.prd.jifeline.cloud/ptmessaging/ef2d8651-3685-4abc-98db-c79bf7b7a651?bufferSize=1000&amp;useArrayFormat=true
14:07:41.900 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:41.912 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[62FE7168D1170768D0631668CEFB5168CD986668CC13A668CA9E3068C93DC968C7DAFD68C6669968C4FC33]
14:07:41.946 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1A01] target[0E80] data[62DD0239]
14:07:41.950 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[22D085]
14:07:41.962 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1A01] data[224028]
14:07:42.025 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:42.027 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[62D0853839303439303332303030303031303030303030313631353934383436363135]
14:07:42.063 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1A01] target[0E80] data[6240280382]
14:07:42.089 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[22FE2B]
14:07:42.161 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:42.163 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[62FE2B20AD5658596D]
14:07:42.211 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[22FE2C]
14:07:42.301 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:42.303 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[62FE2C20AD5658596E]
14:07:42.368 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[22FE2D]
14:07:42.451 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:42.451 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[62FE2D20AD5658596F]
14:07:42.508 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[22FE2F]
14:07:42.587 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:42.587 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[62FE2F74B839F7FE77]
14:07:42.658 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[22E517]
14:07:42.717 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:42.763 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[62E51753616D706C65436F756E7465723A34363736204D61784E756D536174656C6C69746573557365643A3334204D65616E4E756D536174656C6C69746573557365643A32382E36373939]
14:07:42.786 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[22D088]
14:07:42.791 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1FFF] data[3E80]
14:07:42.861 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:42.897 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[62D08800]
14:07:42.915 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[22D117]
14:07:43.021 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:43.021 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[62D11722]
14:07:43.088 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[22D116]
14:07:43.160 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:43.163 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[62D11622]
14:07:43.217 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[2245B5]
14:07:43.282 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:43.341 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[6245B500005DE0]
14:07:43.358 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[224561]
14:07:43.442 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:43.477 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[62456100000000000000000000000000000004000001C400001AB80000861300011944000093E700002FDF00000F09000002340000004E00000000000000000000000000000000]
14:07:43.506 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[224562]
14:07:43.597 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:43.597 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[62456200000000000000000000000000000000000002590000211C00009602000117F1000086EE00002C4B00000D87000002290000005000000000000000000000000000000000]
14:07:43.648 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[224594]
14:07:43.716 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:43.717 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[6245940000000000000000000000000000000000000391000047F300017E770000B29C0000123F000002370000001B00000000000000000000000000000000]
14:07:43.779 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[224659]
14:07:43.791 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1FFF] data[3E80]
14:07:43.846 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:43.863 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[6246597B0A092252...6322203A20223233] length[908]
14:07:43.896 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[^^^^] target[^^^^] data[34222C0A09090922...0000000000000000] length[972]
14:07:43.896 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[^^^^] target[^^^^] data[0000000000000000...0000000000000000] length[523]
14:07:43.957 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[224682]
14:07:44.025 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:44.036 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[6246827B0A092243...09097D2C0A09097B] length[908]
14:07:44.041 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[^^^^] target[^^^^] data[0A09090922646174...4E47222C0A090909] length[972]
14:07:44.043 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[^^^^] target[^^^^] data[2274696D652D7374...65722D726D6E6574] length[972]
14:07:44.079 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[^^^^] target[^^^^] data[3522203A20223733...3864313137356522] length[972]
14:07:44.084 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[^^^^] target[^^^^] data[0A09097D2C0A0909...6475616C2D61706E] length[972]
14:07:44.099 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[^^^^] target[^^^^] data[2D6F6E22203A2022...656374696F6E2D73] length[972]
14:07:44.136 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[^^^^] target[^^^^] data[7461746522203A20...2274696D652D7374] length[972]
14:07:44.345 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[^^^^] target[^^^^] data[616D7022203A2022...0000000000000000] length[972]
14:07:44.345 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[^^^^] target[^^^^] data[0000000000000000...0000000000000000] length[291]
14:07:44.369 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[22469B]
14:07:44.440 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:44.462 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[62469B5B0A097B0A...0A09090909226D6E] length[908]
14:07:44.474 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[^^^^] target[^^^^] data[6322203A20223330...74616D7022203A20] length[972]
14:07:44.478 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[^^^^] target[^^^^] data[2236386432386362...0909097D0A09095D] length[523]
14:07:44.498 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[22D062]
14:07:44.563 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:44.563 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2231]
14:07:44.627 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[22D06C]
14:07:44.694 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:44.694 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2231]
14:07:44.755 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[22FD42]
14:07:44.790 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1FFF] data[3E80]
14:07:44.817 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:44.836 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[62FD42323032352D30392D32335431323A30373A34332E3030305A]
14:07:44.876 | [Local]-&gt;[Remote] DOIP =&gt; [1021] source[0E80] target[1021] data[22D0E7]
14:07:44.963 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[7F2278]
14:07:44.978 | [Remote]-&gt;[Local] DOIP =&gt; [1021] source[1021] target[0E80] data[62D0E70101006548BA0F010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000]
