
Getting data from wss://ptmessaging-eu1bc.prd.jifeline.cloud/ptmessaging/bc6621ee-2af4-400b-8bac-c08e0c3d8b65?bufferSize=1000&amp;useArrayFormat=true
14:09:46.990 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1733] data[22F111]
14:09:47.025 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1734] target[0E80] data[62F1114A3841322D3134433234332D424300000000000000000000]
14:09:47.080 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1733] target[0E80] data[62F1114E3842322D3134433233392D424100000000000000000000]
14:09:47.085 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[14B3] data[22F111]
14:09:47.164 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[14B3] target[0E80] data[62F1114C3842322D31394C3332372D504700000000000000000000]
14:09:47.167 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1732] data[22F111]
14:09:47.241 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1732] target[0E80] data[62F1114D3841322D3134433535392D434100000000000000000000]
14:09:47.258 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1731] data[22F111]
14:09:47.348 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1730] data[22F111]
14:09:47.364 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1731] target[0E80] data[62F1114B3844322D3134433235302D424200000000000000000000]
14:09:47.449 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1726] data[22F111]
14:09:47.464 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1730] target[0E80] data[62F1114D3842322D3134463037352D414100000000000000000000]
14:09:47.529 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1764] data[22F111]
14:09:47.554 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1726] target[0E80] data[62F111523845322D3134433235362D414200000000000000000000]
14:09:47.625 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17E4] data[22F111]
14:09:47.643 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1764] target[0E80] data[62F111525934322D3134443034372D414100000000000000000000]
14:09:47.708 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1464] data[22F111]
14:09:47.743 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17E4] target[0E80] data[62F1114C3842322D3134433235372D424100000000000000000000]
14:09:47.804 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1464] target[0E80] data[62F1114D3842322D3134463037352D414100000000000000000000]
14:09:47.805 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17A3] data[22F111]
14:09:47.888 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17A2] data[22F111]
14:09:47.913 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17A3] target[0E80] data[62F1114D3845322D3134433234392D424200000000000000000000]
14:09:48.022 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17A2] target[0E80] data[62F1114D5836332D3139433237382D414600000000000000000000]
14:09:48.040 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1761] data[22F111]
14:09:48.138 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17E1] data[22F111]
14:09:48.144 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1761] target[0E80] data[62F1114D3845322D3134433336352D414300000000000000000000]
14:09:48.219 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17E0] data[22F111]
14:09:48.243 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17E1] target[0E80] data[62F1114D3845322D3134433234372D414100000000000000000000]
14:09:48.349 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1797] data[22F111]
14:09:48.353 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17E0] target[0E80] data[62F1114D3841322D3132423638342D4B4144000000000000000000]
14:09:48.450 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1757] data[22F111]
