
Getting data from wss://ptmessaging-eu1bc.prd.jifeline.cloud/ptmessaging/24dbec7b-e6b9-4e9d-826b-8823429972d1?bufferSize=1000&amp;useArrayFormat=true
11:12:40.080 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:12:40.115 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x0773,0x00,0x00,0x00] data[0xA8]
11:12:40.178 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07DD,0x00,0x00,0x00] data[0x7FA811]
11:12:42.129 | [Server]-&gt;[Tracer] METADATA =&gt; key[vehicle:info:voltage] value[14.8]
11:12:45.504 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x4100] args[0x074F,0x07,0x00,0x00] data[0x023E00FFFFFFFFFF]
11:12:45.542 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x1003]
11:12:45.608 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x5003003201F4]
11:12:45.721 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x2EF1980A2C2FCF869F]
11:12:45.788 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x7F2E31]
11:12:45.886 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x2EF199250924]
11:12:45.949 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x7F2E31]
11:12:46.038 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x22F19E]
11:12:46.179 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x62F19E45565F4D464B343156616C656F4D454200]
11:12:46.279 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x22F1A2]
11:12:46.359 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x62F1A2303031303633]
11:12:46.458 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x22F187]
11:12:46.528 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x62F1873145413938303635344C20]
11:12:46.644 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x22F189]
11:12:46.839 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x62F18935333334]
11:12:46.936 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x22F191]
11:12:47.016 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x62F1913145413938303635342020]
11:12:47.111 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x22F1A3]
11:12:47.135 | [Server]-&gt;[Tracer] METADATA =&gt; key[vehicle:info:voltage] value[14.9]
11:12:47.198 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x62F1A3483038]
11:12:47.259 | [Server]-&gt;[Tracer] METADATA =&gt; key[connectors:88d880cf-a791-30fc-9307-1d8e6396c45b:rtt] value[49]
11:12:47.295 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x22F1A5]
11:12:47.366 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x7F2231]
11:12:47.539 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x22F197]
11:12:47.628 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x62F1974D4542204D464B20342E312020]
11:12:47.782 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x22F17C]
11:12:47.868 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x7F78] args[0x07B9,0x00,0x00,0x00] data[0x037F2278AAAAAAAA]
11:12:47.966 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x62F17C5652362D30303230342E30332E32344641303630363032]
11:12:48.058 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x22F1DF]
11:12:48.119 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x62F1DF40]
11:12:48.205 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x220600]
11:12:48.306 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x620600010930281F4500E8372020000000000000000000000000000000000000000000]
11:12:48.404 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x22F1A0]
11:12:48.478 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x7F78] args[0x07B9,0x00,0x00,0x00] data[0x037F2278AAAAAAAA]
11:12:48.568 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x62F1A05630333933353431305920]
11:12:48.672 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x22F1A1]
11:12:48.848 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x7F78] args[0x07B9,0x00,0x00,0x00] data[0x037F2278AAAAAAAA]
11:12:48.919 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x62F1A130303031]
11:12:49.009 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x22F1A4]
11:12:49.079 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x7F2231]
11:12:49.177 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x3102062B]
11:12:49.239 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x7F3124]
11:12:49.773 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:12:50.335 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:12:50.892 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:12:51.399 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x2218BC]
11:12:51.458 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x6218BC06]
11:12:51.994 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:12:52.528 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:12:53.083 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:12:53.483 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x2247AF]
11:12:53.579 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x6247AF4B8954A64EF204E1]
11:12:54.155 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:12:54.721 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:12:55.336 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:12:55.904 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:12:56.437 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:12:56.980 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:12:57.173 | [Server]-&gt;[Tracer] METADATA =&gt; key[vehicle:info:voltage] value[14.8]
11:12:57.527 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
11:12:58.067 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5100] args[0x0700,0x00,0x00,0x00] data[0x023E80FFFFFFFFFF]
